Gene stable ID	Transcript stable ID
ENSG00000143171	ENST00000359842
ENSG00000143171	ENST00000619224
ENSG00000131910	ENST00000254227
ENSG00000143365	ENST00000356728
ENSG00000143365	ENST00000318247
ENSG00000153234	ENST00000339562
ENSG00000153234	ENST00000426264
ENSG00000153234	ENST00000409572
ENSG00000153234	ENST00000417764
ENSG00000153234	ENST00000417972
ENSG00000153234	ENST00000409108
ENSG00000153234	ENST00000429376
ENSG00000025434	ENST00000395397
ENSG00000025434	ENST00000405576
ENSG00000025434	ENST00000481889
ENSG00000025434	ENST00000481889
ENSG00000025434	ENST00000407404
ENSG00000025434	ENST00000441012
ENSG00000025434	ENST00000467728
ENSG00000025434	ENST00000405853
ENSG00000025434	ENST00000527949
ENSG00000025434	ENST00000616973
ENSG00000112333	ENST00000368986
ENSG00000112333	ENST00000368983
ENSG00000186951	ENST00000407236
ENSG00000186951	ENST00000402126
ENSG00000186951	ENST00000262735
ENSG00000174738	ENST00000312521
ENSG00000120798	ENST00000333003
ENSG00000120798	ENST00000551647
ENSG00000120798	ENST00000393101
ENSG00000120798	ENST00000330677
ENSG00000173153	ENST00000406310
ENSG00000173153	ENST00000000442
ENSG00000173153	ENST00000539594
ENSG00000173153	ENST00000405666
ENSG00000173153	ENST00000545035
ENSG00000227322	ENST00000443603
ENSG00000227322	ENST00000436753
ENSG00000227322	ENST00000531100
ENSG00000227322	ENST00000437617
ENSG00000227322	ENST00000437617
ENSG00000185551	ENST00000421109
ENSG00000185551	ENST00000394166
ENSG00000185551	ENST00000559679
ENSG00000185551	ENST00000453270
ENSG00000185551	ENST00000394171
ENSG00000151090	ENST00000356447
ENSG00000151090	ENST00000416420
ENSG00000151090	ENST00000280696
ENSG00000151090	ENST00000396671
ENSG00000164749	ENST00000354370
ENSG00000164749	ENST00000396423
ENSG00000069667	ENST00000335670
ENSG00000069667	ENST00000309157
ENSG00000069667	ENST00000261523
ENSG00000069667	ENST00000449337
ENSG00000077092	ENST00000383772
ENSG00000077092	ENST00000437042
ENSG00000077092	ENST00000330688
ENSG00000077092	ENST00000458646
ENSG00000144852	ENST00000393716
ENSG00000144852	ENST00000466380
ENSG00000144852	ENST00000337940
ENSG00000144852	ENST00000640105
ENSG00000144852	ENST00000638727
ENSG00000143257	ENST00000367983
ENSG00000143257	ENST00000437437
ENSG00000143257	ENST00000442691
ENSG00000143257	ENST00000412844
ENSG00000143257	ENST00000428574
